110;4,5;5,4;6,3;3,4;3,45;4;2003
120;4;5;7,5;2,7;3,4;4,78;2003
130;3,9;5,1;8;2,74;3,32;5,03;2003
140;4,2;5;7;2,459;3,252;4,8;2003
150;4,5;5,1;7,7;3,169;3,312;4,8;2003
110;6,5;6,8;7;4,5;4,7;4,8;2004
120;7,9;8;8,1;5,1;5,2;5,3;2004
130;8,25;8,33;8,5;5,3;5,34;5,38;2004
140;8,27;8,3;8,52;5,28;5,3;5,35;2004
150;8,3;8,31;8,5;5,28;5,3;5,35;2004
110;8,1;8,4;9;5,1;5,11;5,2;2005
120;8,2;8,35;8,55;5,4;5,48;5,5;2005
130;8,7;8,78;8,82;5,45;5,5;5,55;2005
140;8,68;8,8;8,85;5,46;5,5;5,55;2005
150;8,65;8,8;8,84;5,46;5,52;5,56;2005
